angle,window_0,window_1,window_2,window_3,window_4,window_5,window_6,window_7,window_8,window_9,window_10,window_11,window_12,window_13,window_14,window_15,window_16,window_17,window_18,window_19,window_20,window_21,window_22,window_23,window_24,window_25,window_26,window_27,window_28,window_29,window_30,window_31,window_32,window_33,window_34,window_35,window_36,window_37,window_38,window_39,window_40,window_41,window_42,window_43,window_44,window_45,window_46,window_47,window_48,window_49,window_50,window_51,window_52,window_53,window_54,window_55,window_56,window_57,window_58,window_59,window_60,window_61,window_62,window_63,window_64,window_65,window_66,window_67,window_68,window_69,window_70,window_71,window_72,window_73,window_74,window_75,window_76,window_77,window_78,window_79
0,0.07017661,0.07198302,0.07177836,0.071751915,0.07162126,0.07076982,0.070007935,0.066589184,0.063801475,0.06403806,0.06524194,0.06652287,0.068096794,0.069719784,0.072432905,0.074372135,0.062035732,0.043393545,0.03935114,0.036892164,0.03357442,0.031137709,0.036913473,0.0554685,0.081872195,0.10247015,0.1034723,0.11071976,0.17344129,0.28182676,0.3653847,0.38945317,0.3587808,0.29623425,0.22965452,0.1792617,0.14666541,0.11272646,0.07958667,0.053971678,0.047856428,0.0371558,0.02415405,0.017876826,0.018889086,0.01939863,0.018463748,0.01819759,0.01897151,0.020565776,0.022590956,0.024811424,0.026588738,0.027702061,0.028158803,0.028489446,0.028805574,0.029463762,0.029084153,0.029107133,0.030816117,0.03300165,0.03346054,0.02794984,0.021253675,0.018129818,0.017302066,0.017895726,0.01843067,0.01853905,0.018431567,0.018782018,0.019218927,0.019806163,0.02048241,0.021145018,0.021825787,0.022633282,0.023514478,0.02454318
1,0.069669776,0.06912731,0.0689006,0.06884459,0.06878729,0.06819052,0.0669469,0.06760778,0.06622083,0.06649327,0.06773286,0.069001175,0.07050422,0.07203364,0.07474363,0.07618311,0.061939333,0.04165414,0.037714824,0.03523761,0.03198184,0.030174932,0.03689594,0.056045085,0.08292062,0.103563204,0.10449383,0.11117385,0.17215233,0.28231856,0.36811033,0.39219493,0.3610882,0.2981673,0.23156597,0.18221483,0.14980157,0.11666994,0.08236306,0.056071352,0.049643677,0.03875962,0.025418114,0.018511042,0.019659916,0.020289823,0.019456012,0.019227805,0.02002214,0.02169485,0.023763934,0.02601894,0.027828578,0.029048475,0.029616108,0.030053494,0.030484807,0.031356357,0.0310565,0.031292815,0.03315373,0.035422165,0.035989445,0.030094795,0.022647848,0.019205492,0.018297108,0.019023692,0.019544333,0.019541793,0.019418355,0.019723428,0.020140817,0.020701945,0.021408286,0.0220469,0.022690173,0.023479803,0.024330845,0.025348805
2,0.06951826,0.07053302,0.070263445,0.070221245,0.0701468,0.0695923,0.068645336,0.0662323,0.06364808,0.06384544,0.0650774,0.066363685,0.067953475,0.06960685,0.07203756,0.07201527,0.059866365,0.041713662,0.037065588,0.034097593,0.030524818,0.029592615,0.037955794,0.05838054,0.08659611,0.10809231,0.10789908,0.11103889,0.17080702,0.29095712,0.38861448,0.4184511,0.38175124,0.30461934,0.2330732,0.18300371,0.15178744,0.12000636,0.08231358,0.055305704,0.050402217,0.04098509,0.027610874,0.02001328,0.021486241,0.022354497,0.021619812,0.021488048,0.022428352,0.02419491,0.026259637,0.028590983,0.030570365,0.032078944,0.0329317,0.033517394,0.03394442,0.034566756,0.033966977,0.033628576,0.035462275,0.037828803,0.038410936,0.03250719,0.025250796,0.02159748,0.020436032,0.02121491,0.021985829,0.02221459,0.02214568,0.02249225,0.022862926,0.023450946,0.024167735,0.024866395,0.025603553,0.026462058,0.02737656,0.028494637
3,0.06568736,0.064703,0.06450272,0.064504445,0.06447345,0.06391729,0.06212324,0.06351289,0.06236602,0.062558115,0.06367334,0.06478958,0.06622886,0.067766614,0.06984209,0.068603195,0.05567859,0.037351385,0.033161268,0.03052119,0.027462883,0.028166654,0.038315024,0.059364025,0.08779437,0.109272614,0.11062042,0.11271796,0.17280383,0.2992155,0.4104116,0.4461765,0.4122782,0.32460186,0.23952667,0.18658991,0.15501195,0.12377423,0.08443663,0.056731623,0.052470867,0.043384936,0.030102123,0.021316215,0.022003585,0.02313809,0.022677382,0.022754813,0.023736572,0.025530739,0.027636945,0.03008692,0.032255754,0.03397248,0.0349986,0.03572103,0.036046255,0.036408402,0.035636973,0.03549822,0.037802532,0.04025834,0.040650837,0.03478796,0.027704263,0.023916388,0.022535855,0.023427838,0.024304736,0.024622079,0.024737747,0.025251511,0.025790365,0.026518304,0.027337162,0.028059294,0.028849429,0.02982165,0.03076659,0.03149814
4,0.06358454,0.06190633,0.06167766,0.061648864,0.06162808,0.06124463,0.058755904,0.060966443,0.060314026,0.060459707,0.061884716,0.06321786,0.064783916,0.066346236,0.06822538,0.06657366,0.053682573,0.035192806,0.03097588,0.028384173,0.025575025,0.027480137,0.038864072,0.061125033,0.09135852,0.1137256,0.114653714,0.11408025,0.17144503,0.30473968,0.42456314,0.46312496,0.43412602,0.34325752,0.2501119,0.18738644,0.15643352,0.12714453,0.08669373,0.056784324,0.052580602,0.044409856,0.03150762,0.022202717,0.022292493,0.023549471,0.023122538,0.023232529,0.024189861,0.026120357,0.028377341,0.031125551,0.033525433,0.035416786,0.036453925,0.03707408,0.037377555,0.0377791,0.037137445,0.036961623,0.039276972,0.04179666,0.04218252,0.03626964,0.029426336,0.025554301,0.024116931,0.025061134,0.025887772,0.0260873,0.026078507,0.026491728,0.027011886,0.027787521,0.028671134,0.029481519,0.030408682,0.031483114,0.032440767,0.03263763
5,0.062680595,0.061274856,0.061065204,0.061044134,0.061020557,0.060614143,0.058701213,0.060904127,0.060210824,0.060324214,0.06154942,0.06267512,0.064024135,0.065383755,0.06707354,0.06359075,0.0519606,0.034886505,0.030614352,0.02781616,0.02447101,0.026375644,0.037452634,0.0589185,0.08857407,0.11082365,0.11183412,0.11224601,0.16936594,0.29858172,0.41031638,0.4552601,0.43397418,0.3472067,0.25394705,0.19002527,0.15742436,0.128488,0.089854755,0.058629267,0.054060493,0.04503222,0.03148804,0.022458086,0.022060461,0.023320882,0.0230168,0.023251243,0.024457613,0.026529783,0.028965646,0.03180233,0.03422001,0.036088824,0.037167594,0.037874885,0.03828665,0.038786147,0.03818834,0.037659463,0.0400735,0.042748746,0.043374754,0.037626375,0.030526191,0.026338533,0.024668584,0.025701653,0.02674041,0.027159996,0.027268847,0.027708001,0.028150786,0.028829956,0.029661264,0.030470172,0.03139998,0.032504655,0.033498492,0.03368338
6,0.06353242,0.060864944,0.06062605,0.06061445,0.06060435,0.060278915,0.05749603,0.06081381,0.06031849,0.060224444,0.061694145,0.06304432,0.064684555,0.06658458,0.06891726,0.064381175,0.05224727,0.034881752,0.030545473,0.027494421,0.023793647,0.025634807,0.036286425,0.05615866,0.08262307,0.10302769,0.10507566,0.10971439,0.16446622,0.27946255,0.3808192,0.4297401,0.4152239,0.33754376,0.25082216,0.1901085,0.15787117,0.12902136,0.09196565,0.061553653,0.05581392,0.045208015,0.030453453,0.021353452,0.020697812,0.021791292,0.02147594,0.02182957,0.023199653,0.02539126,0.028021315,0.031041268,0.03358486,0.03555115,0.036840774,0.038007997,0.039000966,0.04033872,0.039831396,0.03876447,0.04126979,0.04402376,0.045104414,0.039329078,0.031071242,0.026848754,0.025006453,0.02566014,0.026387103,0.0266626,0.026701389,0.02703134,0.02744008,0.028054731,0.02880364,0.029440414,0.03009961,0.030906547,0.031610973,0.032455217
7,0.059927385,0.057053108,0.05683329,0.056827847,0.056818474,0.056484,0.053775977,0.057773124,0.057549354,0.057548888,0.059064824,0.0604329,0.061989877,0.06359958,0.065436736,0.061616115,0.05014934,0.03355328,0.029563209,0.026329882,0.023283726,0.025421564,0.03692563,0.057432026,0.08432911,0.104534335,0.10660029,0.10877299,0.15919167,0.27556366,0.38088703,0.43498626,0.42302778,0.34500337,0.25717744,0.19324046,0.15943755,0.13079147,0.09373536,0.06164412,0.056685407,0.046390362,0.031719867,0.022054313,0.021129392,0.022226654,0.021595566,0.021942284,0.023459977,0.025775833,0.02861025,0.03187666,0.03464258,0.036842234,0.03832282,0.039568868,0.040382702,0.041279927,0.04071487,0.039906412,0.04249813,0.04544693,0.04670429,0.041241284,0.033139367,0.028659305,0.026334245,0.026995359,0.027843177,0.028123053,0.028105121,0.028389793,0.028750172,0.029367032,0.030099625,0.030687982,0.031311844,0.03212807,0.03290612,0.033664163
8,0.06075104,0.057743113,0.05751291,0.057505526,0.057496972,0.05718636,0.05446441,0.058434,0.05815874,0.05806814,0.059512038,0.06083542,0.062410504,0.063998654,0.06581819,0.06021963,0.049044434,0.033116892,0.029650306,0.026637746,0.023414811,0.025264734,0.03650669,0.05594615,0.08155165,0.10130432,0.103921324,0.106448315,0.15451418,0.260759,0.3630668,0.4250629,0.41961312,0.346002,0.25998348,0.19597475,0.16118908,0.13295914,0.09475227,0.061455034,0.056496162,0.046488788,0.03174758,0.021988912,0.021008836,0.022047315,0.021297503,0.021607613,0.023217507,0.025793334,0.028979437,0.032649945,0.03578592,0.03815569,0.039468605,0.040252298,0.040626876,0.04145416,0.040955372,0.039946463,0.042465877,0.045341384,0.04651437,0.04148311,0.034756485,0.030637573,0.028032236,0.028491797,0.029215893,0.029407613,0.029326947,0.029521322,0.029790163,0.030368507,0.031164888,0.03181968,0.03251424,0.03339091,0.03417719,0.034548342
9,0.062163413,0.058684118,0.058453005,0.058448028,0.05843886,0.05811434,0.055225786,0.059110805,0.058874596,0.05875544,0.06021247,0.061615925,0.06325386,0.064865425,0.06665641,0.061562054,0.050362952,0.034085933,0.030536557,0.027083322,0.02377786,0.025981318,0.0373672,0.056763235,0.08156387,0.10082364,0.103979416,0.10825136,0.15519851,0.25831014,0.35609913,0.4165209,0.41211325,0.34142253,0.25822103,0.19608526,0.16188873,0.13380657,0.0959171,0.06273047,0.05690059,0.04610951,0.031157767,0.021618593,0.02062526,0.021574022,0.020741615,0.020963283,0.022648903,0.025473103,0.028962927,0.03295599,0.036385853,0.03881518,0.04009948,0.041018438,0.041760143,0.042932797,0.042561606,0.04140183,0.04381338,0.046701986,0.048057072,0.043065105,0.035669938,0.03147526,0.02890759,0.029259264,0.029846298,0.029939262,0.029815411,0.03004649,0.030363103,0.03095147,0.031696714,0.032280397,0.032913316,0.03370046,0.034358576,0.034595326
