angle,window_0,window_1,window_2,window_3,window_4,window_5,window_6,window_7,window_8,window_9,window_10,window_11,window_12,window_13,window_14,window_15,window_16,window_17,window_18,window_19,window_20,window_21,window_22,window_23,window_24,window_25,window_26,window_27,window_28,window_29,window_30,window_31,window_32,window_33,window_34,window_35,window_36,window_37,window_38,window_39,window_40,window_41,window_42,window_43,window_44,window_45,window_46,window_47,window_48,window_49,window_50,window_51,window_52,window_53,window_54,window_55,window_56,window_57,window_58,window_59,window_60,window_61,window_62,window_63,window_64,window_65,window_66,window_67,window_68,window_69,window_70,window_71,window_72,window_73,window_74,window_75,window_76,window_77,window_78,window_79
0,0.010948208,0.010778782,0.0107823005,0.010771976,0.010762845,0.010697848,0.0106938295,0.011075266,0.011309467,0.0112155555,0.011044809,0.011014768,0.011022194,0.010976149,0.0109256655,0.012269159,0.012648121,0.0131615205,0.014665051,0.016010638,0.017285947,0.018476209,0.020283332,0.028141068,0.040999223,0.06012617,0.097128,0.19933356,0.35381576,0.4978034,0.53660125,0.41118118,0.20954415,0.076730184,0.043186728,0.04255618,0.04261326,0.044123594,0.048600763,0.049230374,0.043516,0.0357038,0.026240034,0.017539734,0.013589615,0.012933701,0.014671036,0.015979147,0.016633295,0.017065123,0.01741806,0.017771801,0.01823045,0.018631153,0.019169684,0.019897446,0.020924656,0.022177305,0.022903042,0.023698296,0.025865039,0.028455764,0.03148577,0.030326528,0.027263576,0.023632925,0.020551475,0.019528043,0.017530844,0.0155230155,0.014934697,0.014434982,0.013983765,0.01360281,0.013394795,0.013203568,0.01303517,0.012901326,0.012637998,0.012374515
1,0.011185433,0.011193144,0.011219588,0.011216422,0.011208378,0.011137828,0.011171714,0.011660226,0.011882868,0.011737854,0.01153031,0.011460545,0.011422598,0.011336502,0.011247903,0.012206009,0.012278008,0.012968826,0.014490061,0.01569235,0.016690237,0.017527578,0.018919658,0.02518415,0.036036503,0.05329415,0.08998368,0.18990688,0.33954957,0.47885385,0.5125453,0.3911985,0.2009035,0.07445808,0.041897163,0.040455185,0.040089272,0.040697865,0.04397818,0.044574216,0.03886092,0.03201623,0.023492709,0.015725937,0.012572245,0.012908365,0.014772378,0.016090779,0.016831182,0.017367847,0.017789429,0.018127566,0.018484095,0.018742796,0.018987041,0.0193487,0.02010442,0.02114679,0.021647107,0.02182275,0.023335041,0.025283802,0.028037736,0.027084082,0.023959605,0.02071442,0.018481506,0.017844334,0.016550755,0.014888618,0.013857699,0.013349399,0.012894317,0.01251697,0.0122486735,0.012013989,0.011789395,0.011604275,0.011352298,0.011267085
2,0.0129195675,0.012724759,0.012713592,0.012699627,0.012687166,0.012597939,0.012627441,0.01304841,0.0132557,0.013115444,0.012889388,0.012815052,0.012787578,0.012691398,0.012492551,0.013627296,0.0138852345,0.014640034,0.016387386,0.017877815,0.019245027,0.020452345,0.022051223,0.030327857,0.04356555,0.06301883,0.10418182,0.21727887,0.3887792,0.5497839,0.5924183,0.45151132,0.22739945,0.07768981,0.04139364,0.04087129,0.04088652,0.04292814,0.04888388,0.051148437,0.046055745,0.037378564,0.027455507,0.018075798,0.014293306,0.01338297,0.014977115,0.016392866,0.01727465,0.01790817,0.01840963,0.018840704,0.019281363,0.019660678,0.02018366,0.020964138,0.021990346,0.023246905,0.02381781,0.02441893,0.02650504,0.029098481,0.032414053,0.031537317,0.027863529,0.023550935,0.02059211,0.019783672,0.017948506,0.015948499,0.015394068,0.014938496,0.014536249,0.014164291,0.013935858,0.0137270205,0.013524856,0.013346432,0.013044766,0.012850155
3,0.012847279,0.012603523,0.012618106,0.01261408,0.012604389,0.012497671,0.012513018,0.013307539,0.013586587,0.013412902,0.013176007,0.013069901,0.012994612,0.012872349,0.012766163,0.013633289,0.013563726,0.014742846,0.01672281,0.018243577,0.019524353,0.020552734,0.021868303,0.029486703,0.042128522,0.06081635,0.1006699,0.20996703,0.3800004,0.54076755,0.580401,0.44041824,0.2251979,0.08189947,0.04303939,0.041236978,0.040634036,0.041592278,0.04818856,0.051988855,0.04656311,0.037540123,0.027568828,0.017516011,0.0129505545,0.012616056,0.01457659,0.016289953,0.017286522,0.018035103,0.018620268,0.019107087,0.019579094,0.019940624,0.020375147,0.021090047,0.022090094,0.023338715,0.023867238,0.024043642,0.02611779,0.028722651,0.032140065,0.031453185,0.02737862,0.022735635,0.01984107,0.019142998,0.017563032,0.01572631,0.015104494,0.014665132,0.014254555,0.013869489,0.013607999,0.013380139,0.013150434,0.012931829,0.012582786,0.0123648485
4,0.011051113,0.010808324,0.010817038,0.010810395,0.010800562,0.010711951,0.010756221,0.011281601,0.011439347,0.011289738,0.011110401,0.01105394,0.011039809,0.0109836245,0.010871855,0.011746794,0.011793517,0.012498209,0.013960179,0.01517098,0.01630735,0.017385183,0.01906177,0.026518868,0.038554423,0.057061553,0.09538514,0.1967299,0.35136768,0.49545142,0.53721553,0.42187023,0.22476001,0.08413684,0.04372615,0.0399749,0.039292973,0.04009461,0.04584313,0.048276685,0.043887682,0.03589429,0.025530385,0.016792117,0.013501555,0.013858397,0.015526941,0.017039433,0.017908964,0.018554345,0.019070137,0.019528084,0.020041142,0.020486627,0.021038055,0.021839328,0.022843065,0.024061346,0.024720704,0.025221301,0.027671864,0.03064205,0.03389699,0.032852598,0.029593991,0.025653288,0.022294007,0.021216787,0.01933059,0.017040234,0.016024519,0.01539728,0.014851018,0.014381713,0.014072548,0.013771007,0.013509162,0.01326161,0.012922272,0.012770523
5,0.0113497265,0.011321835,0.011300474,0.011282016,0.011265892,0.01116907,0.011282018,0.011562025,0.011681531,0.011577405,0.01142258,0.011387136,0.011396451,0.011350785,0.011164881,0.012070035,0.01226173,0.012794951,0.014156266,0.015323644,0.016522182,0.017706426,0.019820109,0.028500192,0.042141866,0.06234096,0.10129708,0.20409982,0.3584868,0.5005047,0.5413063,0.4254651,0.22695042,0.08430481,0.0431245,0.041723147,0.04156633,0.043379672,0.048437312,0.050540935,0.046179287,0.038782824,0.0290012,0.0188971,0.014111351,0.013844794,0.015572591,0.017083863,0.017953372,0.018557185,0.019034002,0.01942571,0.019825961,0.020134706,0.020668559,0.021441238,0.022445133,0.023645036,0.024328694,0.025222113,0.027643563,0.030531792,0.033831257,0.033140354,0.030120956,0.02633114,0.022729596,0.021515545,0.019587362,0.01726048,0.016030567,0.015345734,0.014688192,0.0141112935,0.013675154,0.013255951,0.012887185,0.012598485,0.012218135,0.012143254
6,0.012489471,0.0124605335,0.012468297,0.0124572385,0.012444856,0.012340596,0.012423226,0.012907576,0.01310451,0.012968461,0.0127605805,0.01266851,0.012614259,0.012521411,0.012422008,0.013407806,0.013525293,0.014416749,0.01593612,0.017098585,0.018143518,0.019046223,0.020276528,0.027616521,0.039468497,0.056232806,0.09222022,0.19281799,0.34663036,0.48875096,0.5248488,0.4046131,0.21437374,0.08164405,0.04143715,0.03696488,0.036046416,0.03651542,0.041406687,0.04542619,0.041101094,0.033609632,0.024674166,0.01586813,0.012572271,0.012458431,0.014111588,0.015487278,0.016279144,0.016864471,0.017326184,0.017714899,0.018118303,0.018472498,0.018960692,0.019684618,0.02064773,0.021854343,0.022516467,0.023056973,0.02549658,0.028647874,0.03233188,0.031659156,0.028053153,0.023630876,0.020432511,0.019642219,0.01804745,0.016020127,0.014876323,0.014358196,0.013865795,0.013413741,0.013049164,0.012744998,0.012481938,0.01225667,0.011944292,0.011831081
7,0.010908204,0.010829028,0.010820082,0.010805227,0.010789849,0.0106743,0.010756982,0.01121975,0.011389706,0.011281447,0.011130793,0.011080212,0.011072575,0.011024197,0.010870377,0.011746168,0.011921782,0.012496991,0.013807538,0.014911278,0.016042672,0.017211873,0.019119918,0.027212676,0.03971893,0.055960786,0.09019801,0.18893082,0.3363107,0.47459328,0.5149087,0.4036944,0.21530879,0.07906489,0.038920786,0.036510028,0.036179055,0.037730604,0.04314897,0.04742365,0.04339015,0.035426185,0.025826048,0.016557388,0.01265133,0.0130328555,0.01460831,0.015990868,0.016794985,0.01738707,0.017843083,0.01822494,0.018585552,0.018806634,0.018884603,0.019240769,0.020063227,0.021164173,0.021658646,0.021775905,0.023817256,0.026475105,0.029722974,0.028968044,0.02552218,0.0216694,0.019049328,0.018351873,0.016934011,0.015129739,0.013943618,0.013316066,0.012784623,0.012326084,0.011951426,0.011626,0.011335606,0.011079538,0.010741508,0.010656377
8,0.010442126,0.010160183,0.01015407,0.010144701,0.01013177,0.010018915,0.010058236,0.010627769,0.01082499,0.010708189,0.010558714,0.010520023,0.010525946,0.010486679,0.010324351,0.011219822,0.0113458205,0.011863787,0.013077583,0.014080008,0.015117703,0.016161857,0.01814179,0.02597507,0.038424294,0.056178875,0.08963161,0.18268783,0.32145584,0.4505628,0.4890558,0.38753623,0.20746872,0.0763514,0.038605027,0.03643818,0.035651408,0.03685085,0.04166502,0.044196796,0.040537238,0.03403664,0.02460614,0.016286438,0.013329871,0.013567271,0.015229056,0.016548298,0.017257884,0.0177553,0.018114403,0.018409053,0.01868813,0.018835861,0.018832792,0.01915318,0.01990728,0.020907864,0.02144004,0.02190282,0.024297955,0.027393661,0.030715765,0.030089809,0.02687695,0.023064204,0.019987056,0.019059075,0.01754949,0.01564686,0.014344042,0.013528727,0.012882711,0.012350701,0.011943933,0.011540814,0.011188479,0.010869365,0.010455782,0.010336377
9,0.009741488,0.009622891,0.009609319,0.009593878,0.009577809,0.009470321,0.009536662,0.009889398,0.010001802,0.009911198,0.009797884,0.009784113,0.009821613,0.009813749,0.009631426,0.010494907,0.010777474,0.011062006,0.012158722,0.013250168,0.014565158,0.01610556,0.018347338,0.02693361,0.03957352,0.057775132,0.092365585,0.18560936,0.32536268,0.45386478,0.49819443,0.4034784,0.22282495,0.0831635,0.041240655,0.0388475,0.038696,0.039927013,0.044930547,0.047604505,0.043817926,0.036968067,0.027492179,0.018435424,0.015058388,0.015343118,0.016710082,0.017956149,0.018600937,0.019042473,0.019368561,0.019632034,0.019895777,0.020012042,0.020123592,0.02057521,0.021358028,0.022360096,0.022921303,0.023373153,0.025501743,0.027999802,0.030827675,0.030104116,0.027786406,0.024737783,0.021330778,0.020071931,0.018189553,0.015978789,0.01516736,0.014546539,0.013990014,0.013467748,0.013087747,0.012709671,0.012346815,0.012022494,0.011591326,0.011195495
